2025-11-10 | 18:08:07 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:11 | 127.0.0.1 | admin/create_sentence.php | El administrador 'admin' accedió a la página de creación de frases.
2025-11-10 | 18:08:12 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:13 | 127.0.0.1 | admin/list_sentences.php | El administrador 'admin' accedió al listado de frases (página 1).
2025-11-10 | 18:08:20 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:21 | 127.0.0.1 | admin/logs.php | El administrador 'admin' accedió a los logs (página 1).
2025-11-10 | 18:08:23 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:37 | 127.0.0.1 | admin/list_sentences.php | El administrador 'admin' accedió al listado de frases (página 1).
2025-11-10 | 18:08:37 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:42 | 127.0.0.1 | admin/logs.php | El administrador 'admin' accedió a los logs (página 1).
2025-11-10 | 18:08:43 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:08:44 | 127.0.0.1 | admin/logs.php | El administrador 'admin' accedió a los logs (página 1).
2025-11-10 | 18:08:45 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:09:59 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-10 | 18:10:00 | 127.0.0.1 | admin/logs.php | El administrador 'admin' accedió a los logs (página 1).
2025-11-10 | 18:10:01 | 127.0.0.1 | admin/index.php | El administrador 'admin' accedió al panel principal.
2025-11-11 | 14:29:32 | 127.0.0.1 | index.php | El jugador 'Unknown' accedió al menú principal.
2025-11-11 | 14:29:37 | 127.0.0.1 | play.php | Inicio de partida del jugador 'Bili' con dificultad 'medio'
2025-11-11 | 14:29:42 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:29:43 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
